position,balance,price
1,-227.7978,227.7978
0,0.10620000000000118,227.904
-1,228.0102,227.904
-2,456.02,228.00979999999998
-3,684.1857,228.1657
-4,912.4334,228.2477
-3,684.3085,228.1249
-2,456.18359999999996,228.1249
-1,228.11319999999995,228.0704
0,0.042799999999942884,228.0704
1,-227.90520000000006,227.948
2,-455.8532000000001,227.948
3,-683.7384000000001,227.8852
4,-911.6236000000001,227.8852
5,-1139.5204,227.8968
6,-1367.3009000000002,227.78050000000002
7,-1595.0762000000002,227.77530000000002
8,-1822.8490000000002,227.77280000000002
7,-1595.0596,227.7894
6,-1367.1731,227.88649999999998
5,-1139.2866,227.88649999999998
4,-911.3186999999999,227.9679
3,-683.3507999999999,227.9679
4,-911.1950999999999,227.8443
3,-683.3033999999999,227.8917
2,-455.4116999999999,227.8917
3,-683.1619999999999,227.7503
4,-910.6743999999999,227.5124
5,-1138.1868,227.5124
6,-1365.7874,227.60060000000001
7,-1593.388,227.60060000000001
6,-1365.7693,227.6187
7,-1593.2813999999998,227.5121
6,-1365.706,227.5754
5,-1137.9666,227.7394
4,-910.2272,227.7394
5,-1137.8574,227.6302
6,-1365.4876000000002,227.6302
5,-1137.7183000000002,227.7693
4,-909.9490000000003,227.7693
3,-682.1664000000003,227.7826
2,-454.3838000000003,227.7826
1,-226.57360000000028,227.8102
0,1.2365999999997257,227.8102
1,-226.4857000000003,227.72230000000002
0,1.3167999999997164,227.8025
-1,229.11929999999973,227.8025
-2,456.9623999999997,227.8431
-1,229.2358999999997,227.72650000000002
-2,457.0348999999997,227.799
-1,229.3530999999997,227.6818
0,1.6712999999996896,227.6818
1,-226.00220000000033,227.67350000000002
0,1.7736999999996783,227.7759
1,-225.93330000000032,227.707
0,1.8721999999996797,227.8055
-1,229.67179999999968,227.7996
-2,457.5451999999997,227.8734
-3,685.5042999999997,227.9591
-4,913.4633999999998,227.9591
-5,1141.4783999999997,228.015
-6,1369.4933999999998,228.015
-7,1597.6332999999997,228.13989999999998
-8,1825.9312999999997,228.298
-9,2054.1600999999996,228.2288
-8,1825.9755999999995,228.1845
-7,1597.8226999999995,228.15290000000002
-8,1826.0299999999995,228.2073
-9,2054.2357999999995,228.20579999999998
-10,2282.4497999999994,228.214
-9,2054.2659999999996,228.1838
-8,1826.0821999999996,228.1838
-7,1597.8875999999996,228.1946
-6,1369.7104999999997,228.1771
-5,1141.5589999999997,228.1515
-4,913.4074999999998,228.1515
-3,685.2508999999998,228.1566
-4,913.4945999999998,228.2437
-5,1141.8016999999998,228.3071
-6,1370.1558999999997,228.3542
-5,1141.8508999999997,228.305
-4,913.5918999999997,228.25900000000001
-3,685.3328999999997,228.25900000000001
